Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
76,"J Xu, O Chutatape, E Sung, C Zheng, PCT Kuan",Optic disk feature extraction via modified deformable model technique for glaucoma analysis,291,2007, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320306004158,15,10.1016/j.patcog.2006.10.015
61,W Khan,Image segmentation techniques: A survey,288,2013, academia.edu, Journal of image and graphics,https://www.academia.edu/download/38482575/20131226051740869.pdf,22,10.1007/978-981-13-0761-4_105
92,"DA Vaquero, RS Feris, D Tran, L Brown…",Attribute-based people search in surveillance environments,285,2009, ieeexplore.ieee.org, 2009 workshop on …,https://ieeexplore.ieee.org/abstract/document/5403131/,17,10.1109/wacv.2009.5403131
45,"KR Gavhale, U Gawande",An overview of the research on plant leaves disease detection using image processing techniques,285,2014, researchgate.net, Iosr journal of computer engineering …,https://www.researchgate.net/profile/Ujwalla-Gawande/publication/314436486_An_Overview_of_the_Research_on_Plant_Leaves_Disease_detection_using_Image_Processing_Techniques/links/5d3710664585153e591a3d20/An-Overview-of-the-Research-on-Plant-Leaves-Disease-detection-using-Image-Processing-Techniques.pdf,24,10.9790/0661-16151016
86,"WS Chu, Y Song, A Jaimes",Video co-summarization: Video summarization by visual co-occurrence,283,2015, openaccess.thecvf.com, Proceedings of the IEEE …,http://openaccess.thecvf.com/content_cvpr_2015/html/Chu_Video_Co-Summarization_Video_2015_CVPR_paper.html,26,10.1109/cvpr.2015.7298981
90,"G Dhingra, V Kumar, HD Joshi",Study of digital image processing techniques for leaf disease detection and classification,282,2018, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-017-5445-8,35,10.1007/s11042-017-5445-8
32,"PR Kersten, JS Lee…",Unsupervised classification of polarimetric synthetic aperture radar images using fuzzy clustering and EM clustering,282,2005, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/1396324/,13,10.1109/tgrs.2004.842108
65,"MM Rahman, P Bhattacharya…",A framework for medical image retrieval using machine learning and statistical similarity matching techniques with relevance feedback,281,2007, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/4049802/,15,10.1109/titb.2006.884364
23,"A Mojsilovic, J Kovacevic, J Hu…",Matching and retrieval based on the vocabulary and grammar of color patterns,278,2000, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/817597/,11,10.1109/83.817597
80,"H Kong, M Gurcan…",Partitioning histopathological images: an integrated framework for supervised color-texture segmentation and cell splitting,268,2011, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/5746646/,18,10.1109/tmi.2011.2141674
22,"W Dong, N Zhou, JC Paul, X Zhang",Optimized image resizing using seam carving and scaling,267,2009, dl.acm.org, ACM Transactions on Graphics …,https://dl.acm.org/doi/abs/10.1145/1618452.1618471,16,10.1145/1661412.1618471
84,"W William, A Ware, AH Basaza-Ejiri…",A review of image analysis and machine learning techniques for automated cervical cancer screening from pap-smear images,266,2018, Elsevier, Computer methods and …,https://www.sciencedirect.com/science/article/pii/S0169260717307459,33,10.1016/j.cmpb.2018.05.034
79,"J Hou, H Gao, X Li",DSets-DBSCAN: A parameter-free clustering algorithm,265,2016, ieeexplore.ieee.org, IEEE Transactions on Image Processing,https://ieeexplore.ieee.org/abstract/document/7460951/,26,10.1109/tip.2016.2559803
41,"S Dasiopoulou, V Mezaris…",Knowledge-assisted semantic video object detection,263,2005, ieeexplore.ieee.org, … on Circuits and …,https://ieeexplore.ieee.org/abstract/document/1512239/,13,10.1109/tcsvt.2005.854238
19,"JM Biosca, JL Lerma",Unsupervised robust planar segmentation of terrestrial laser scanner point clouds based on fuzzy clustering methods,261,2008, Elsevier, ISPRS Journal of Photogrammetry and Remote …,https://www.sciencedirect.com/science/article/pii/S0924271607000809,14,10.1016/j.isprsjprs.2007.07.010
40,"L Cinque, G Ciocca, S Levialdi, A Pellicano…",Color-based image retrieval using spatial-chromatic histograms,260,2001, Elsevier, Image and Vision …,https://www.sciencedirect.com/science/article/pii/S0262885601000609,10,10.1109/mmcs.1999.778621
59,"OAB Penatti, E Valle, RS Torres",Comparative study of global color and texture descriptors for web image retrieval,258,2012, Elsevier, Journal of visual communication and …,https://www.sciencedirect.com/science/article/pii/S1047320311001465,18,10.1016/j.jvcir.2011.11.002
16,"DJ Bora, AK Gupta, FA Khan",Comparing the performance of L* A* B* and HSV color spaces with respect to color image segmentation,251,2015, arxiv.org, arXiv preprint arXiv:1506.01472,https://arxiv.org/abs/1506.01472,23,10.22232/stj.2019.07.01.05
44,"YM Tikunov, S Laptenok, RD Hall, A Bovy…",MSClust: a tool for unsupervised mass spectra extraction of chromatography-mass spectrometry ion-wise aligned data,245,2012, Springer, Metabolomics,https://link.springer.com/article/10.1007/s11306-011-0368-2,18,10.1007/s11306-011-0368-2
81,"A Ghosal, A Nandy, AK Das, S Goswami…",A short review on different clustering techniques and their applications,180,2020, Springer, Emerging Technology in …,https://link.springer.com/chapter/10.1007/978-981-13-7403-6_9,30,10.1007/978-981-13-7403-6_9
57,"H Greenspan, J Goldberger, I Eshet",Mixture model for face-color modeling and segmentation,178,2001, Elsevier, Pattern Recognition Letters,https://www.sciencedirect.com/science/article/pii/S0167865501000861,7,10.1016/s0167-8655(01)00086-1
38,"SR Vantaram, E Saber",Survey of contemporary trends in color image segmentation,176,2012, spiedigitallibrary.org, Journal of Electronic Imaging,https://www.spiedigitallibrary.org/journals/journal-of-electronic-imaging/volume-21/issue-4/040901/Survey-of-contemporary-trends-in-color-image-segmentation/10.1117/1.JEI.21.4.040901.short,13,10.1117/1.jei.21.4.040901
71,"H Mittal, AC Pandey, M Saraswat, S Kumar…","A comprehensive survey of image segmentation: clustering methods, performance parameters, and benchmark datasets",174,2022, Springer, Multimedia Tools and …,https://link.springer.com/article/10.1007/s11042-021-10594-9,44,10.1007/s11042-021-10594-9
8,"SH Leung, SL Wang, WH Lau",Lip image segmentation using fuzzy clustering incorporating an elliptic shape function,174,2004, ieeexplore.ieee.org, IEEE transactions on image …,https://ieeexplore.ieee.org/abstract/document/1262013/,8,10.1109/tip.2003.818116
17,"J Fan, M Han, J Wang",Single point iterative weighted fuzzy C-means clustering algorithm for remote sensing image segmentation,170,2009, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320309001563,10,10.1016/j.patcog.2009.04.013
50,"S Das, S Sil",Kernel-induced fuzzy clustering of image pixels with an improved differential evolution algorithm,170,2010, Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025509005192,11,10.1016/j.ins.2009.11.041
55,"B Balasko, J Abonyi, B Feil",Fuzzy clustering and data analysis toolbox,169,2005, academia.edu, Department of Process Engineering …,https://www.academia.edu/download/34400988/fuzzyclusteringtoolbox.pdf,8,10.1243/09544119jeim384
49,"IK Sethi, IL Coman, D Stan",Mining association rules between low-level image features and high-level concepts,168,2001, spiedigitallibrary.org, Data mining and knowledge …,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/4384/0000/Mining-association-rules-between-low-level-image-features-and-high/10.1117/12.421083.short,7,10.1117/12.421083
11,"CC Hung, S Kulkarni, BC Kuo",A new weighted fuzzy c-means clustering algorithm for remotely sensed image classification,167,2010, ieeexplore.ieee.org, IEEE Journal of selected topics …,https://ieeexplore.ieee.org/abstract/document/5658101/,10,10.1109/jstsp.2010.2096797
37,"T Lei, P Liu, X Jia, X Zhang, H Meng…",Automatic fuzzy clustering framework for image segmentation,163,2019, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8770118/,23,10.1109/tfuzz.2019.2930030
62,"MHF Zarandi, M Zarinbal, M Izadi",Systematic image processing for diagnosing brain tumors: A Type-II fuzzy expert system approach,162,2011, Elsevier, Applied soft computing,https://www.sciencedirect.com/science/article/pii/S1568494609002324,11,10.1016/j.asoc.2009.11.019
77,"L Kapoor, S Thakur",A survey on brain tumor detection using image processing techniques,161,2017, ieeexplore.ieee.org, … on cloud computing  data science & …,https://ieeexplore.ieee.org/abstract/document/7943218/,18,10.1109/confluence.2017.7943218
93,"KB Vaishnavee, K Amshakala",An automated MRI brain image segmentation and tumor detection using SOM-clustering and Proximal Support Vector Machine classifier,97,2015, ieeexplore.ieee.org, 2015 IEEE international …,https://ieeexplore.ieee.org/abstract/document/7275030/,9,10.1109/icetech.2015.7275030
67,"X Qi, J Dong, Y Lan, H Zhu",Method for identifying litchi picking position based on YOLOv5 and PSPNet,47,2022, mdpi.com, Remote Sensing,https://www.mdpi.com/2072-4292/14/9/2004,12,10.3390/rs14092004
14,"Q Li-Ying, W Ke-Gang",Kernel fuzzy clustering based classification of ancient-ceramic fragments,28,2010, ieeexplore.ieee.org, 2010 2nd IEEE International …,https://ieeexplore.ieee.org/abstract/document/5477818/,2,10.1109/icime.2010.5477818
28,"S Alférez, A Merino, A Acevedo, L Puigví…",Color clustering segmentation framework for image analysis of malignant lymphoid cells in peripheral blood,28,2019, Springer, Medical & biological …,https://link.springer.com/article/10.1007/s11517-019-01954-7,4,10.1007/s11517-019-01954-7
89,"C Wu, X Zhang",A novel kernelized total Bregman divergence-driven possibilistic fuzzy clustering with multiple information constraints for image segmentation,15,2021, ieeexplore.ieee.org, IEEE Transactions on Fuzzy Systems,https://ieeexplore.ieee.org/abstract/document/9369886/,3,10.1109/tfuzz.2021.3063818
42,"C Xiya, Z Songling, GU Bingfei",Color analysis of digitally spray-printed gambiered Canton gauze cheongsam based on color network,2,2022, journal.zjtextile.com.cn, Advanced Textile …,http://journal.zjtextile.com.cn/EN/Y2022/V30/I6/176,0,10.2352/cgiv.2012.6.1.art00012
