Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
95,"S Henzgen, M Strickert, E Hüllermeier",Visualization of evolving fuzzy rule-based systems,14,2014, Springer, Evolving Systems,https://link.springer.com/article/10.1007/s12530-014-9110-4,1,10.1007/s12530-014-9110-4
52,"K Mondal, P Dutta…",Gray image extraction using fuzzy logic,13,2012, ieeexplore.ieee.org, 2012 Second International …,https://ieeexplore.ieee.org/abstract/document/6168377/,1,10.1109/acct.2012.60
47,"R Subban, R Mishra",Rule-based face detection in color images using normalized RGB color space—A comparative study,13,2012, ieeexplore.ieee.org, 2012 IEEE International Conference on …,https://ieeexplore.ieee.org/abstract/document/6510304/,1,10.1109/iccic.2012.6510304
42,"CF Juang, CW Chang, TH Hung",Hand palm tracking in monocular images by fuzzy rule-based fusion of explainable fuzzy features with robot imitation application,12,2021, ieeexplore.ieee.org, IEEE Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/9447917/,2,10.1109/tfuzz.2021.3086228
14,"M Hamidi, A Borji",Color image segmentation with CLPSO-based fuzzy,12,2007, academia.edu, International Journal of Computer Science and …,https://www.academia.edu/download/93793825/20070630.pdf,1,10.1109/nafips.2007.383892
1,"LS Dooley, GC Karmakar…",A fuzzy rule-based colour image segmentation algorithm,12,2003, ieeexplore.ieee.org, … Conference on Image …,https://ieeexplore.ieee.org/abstract/document/1247128/,1,10.1109/icip.2003.1247128
10,"MA Rahaman, M Jasim, MH Ali, T Zhang…",A real-time hand-signs segmentation and classification system using fuzzy rule based RGB model and grid-pattern analysis.,11,2018, researchgate.net, Frontiers Comput …,https://www.researchgate.net/profile/Muhammad-Rahaman-3/publication/380727122_FCS-17082R2_Fuzzy-RGBpdf/data/664b8341479366623aff20e5/FCS-17082R2-Fuzzy-RGB.pdf,1,10.1007/s11704-018-7082-4
76,"S Ghanei, K Faez",A robust approach for scene text localization using rule-based confidence map and grouping,11,2017, World Scientific, International Journal of Pattern Recognition and …,https://www.worldscientific.com/doi/abs/10.1142/S0218001417530020,1,10.1142/s0218001417530020
43,"C Popa, M Gordan, A Vlaicu, B Orza…",Computationally efficient algorithm for fuzzy rule-based enhancement on JPEG compressed color images,11,2008, academia.edu, WSEAS Transactions on …,https://www.academia.edu/download/35679006/27-300.pdf,1,10.2352/cic.1997.5.1.art00016
13,"TW Chua, K Leman, Y Wang",Fuzzy rule-based system for dynamic texture and color based background subtraction,10,2012, ieeexplore.ieee.org, … Conference on Fuzzy Systems,https://ieeexplore.ieee.org/abstract/document/6251209/,1,10.1109/fuzz-ieee.2012.6251209
59,"J Chamorro-Martinez, D Sánchez…",Fuzzy homogeneity measures for path-based colour image segmentation,10,2006, inderscienceonline.com, International …,https://www.inderscienceonline.com/doi/abs/10.1504/IJISTA.2006.009910,0,10.1504/ijista.2006.009910
27,"M Chowdhury, J Gao, R Islam",Fuzzy rule based approach for face and facial feature extraction in biometric authentication,9,2016, ieeexplore.ieee.org, 2016 international conference …,https://ieeexplore.ieee.org/abstract/document/7804444/,1,10.1109/ivcnz.2016.7804444
15,"H Leon-Garza, H Hagras, A Peña-Rios…",A fuzzy rule-based system using a patch-based approach for semantic segmentation in floor plans,9,2021, ieeexplore.ieee.org, … on Fuzzy Systems …,https://ieeexplore.ieee.org/abstract/document/9494427/,2,10.1109/fuzz45933.2021.9494427
16,"K Mondal, P Dutta, S Bhattacharyya",Feature based fuzzy rule base design for image extraction,8,2012, arxiv.org, arXiv preprint arXiv:1206.3633,https://arxiv.org/abs/1206.3633,1,10.1109/cicn.2012.105
49,"VK Sudha, R Sudhakar…",Fuzzy rule-based segmentation of CT brain images of hemorrhage for compression,7,2012, inderscienceonline.com, International Journal of …,https://www.inderscienceonline.com/doi/abs/10.1504/IJAIP.2012.052069,0,10.1504/ijaip.2012.052069
96,"A Lopez-Alanis, RA Lizarraga-Morales…",Visual saliency detection using a rule-based aggregation approach,7,2019, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/9/10/2015,1,10.3390/app9102015
50,"Q Tan, Q Wei, J Hu, D Aldred",Road vehicle detection using fuzzy logic rule-based method,6,2010, ieeexplore.ieee.org, … Fuzzy Systems and Knowledge …,https://ieeexplore.ieee.org/abstract/document/5569091/,0,10.1109/fskd.2010.5569091
86,"A Celestine, JD Peter",Investigations on adaptive connectivity and shape prior based fuzzy graph‐cut colour image segmentation,6,2020, Wiley Online Library, Expert Systems,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.12554,1,10.1111/exsy.12554
45,"S Fotopoulos, A Fotinos, S Makrogiannis",Fuzzy rule-based color filtering using statistical indices,6,2003, Springer, Fuzzy Filters for Image …,https://link.springer.com/chapter/10.1007/978-3-540-36420-7_4,0,10.1007/978-3-540-36420-7_4
8,"K Mondal, P Dutta…",Efficient fuzzy rule base design using image features for image extraction and segmentation,6,2012, ieeexplore.ieee.org, 2012 Fourth International …,https://ieeexplore.ieee.org/abstract/document/6375223/,0,10.1109/cicn.2012.105
25,"TM Kyi, KCM Zin",Color Segmentation based on human perception using fuzzy logic,5,2019, Springer, Big Data Analysis and Deep Learning Applications …,https://link.springer.com/chapter/10.1007/978-981-13-0869-7_37,1,10.1007/978-981-13-0869-7_37
35,"F Hachouf, N Mezhoud",An improved fuzzy rule-based segmentation system,5,2003, ieeexplore.ieee.org, Seventh International Symposium on …,https://ieeexplore.ieee.org/abstract/document/1224758/,0,10.1109/isspa.2003.1224758
7,"X Yang, SM Krishnan, KL Chan",Color image segmentation based on fuzzy rule-based reasoning applied to colonoscopic images,4,2000, dl.begellhouse.com, Critical Reviews™ in …,"https://www.dl.begellhouse.com/journals/4b27cbfc562e21b8,657c94ee3fd00c46,6be49b54142caeb0.html",0,10.1615/critrevbiomedeng.v28.i34.20
30,"S Das, S Meher",A novel shadow detection method using fuzzy rule based model,4,2017, ieeexplore.ieee.org, 2017 IEEE 15th Student Conference on …,https://ieeexplore.ieee.org/abstract/document/8305433/,0,10.1109/scored.2017.8305433
23,"MR Khokher, A Ghafoor, AM Siddiqui",Graph Cuts based Image Segmentation using Fuzzy Rule Based System,3,2012, radioeng.cz, Radioengineering,https://www.radioeng.cz/fulltexts/2012/12_04_1236_1245.pdf,0,10.1109/icarcv.2012.6485319
74,"XX Yin, S Hadjiloucas",Digital filtering techniques using fuzzy-rules based logic control,3,2023, mdpi.com, Journal of Imaging,https://www.mdpi.com/2313-433X/9/10/208,1,10.3390/jimaging9100208
83,S Yang,Application of fuzzy intelligent reasoning method in art color measurement,3,2020, content.iospress.com, Journal of Intelligent & Fuzzy Systems,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs189286,0,10.3233/jifs-189286
81,"S Mousavi, P Moallem, M Kavosh",Could not catch title,3,0," … Joint Congress on Fuzzy and Intelligent Systems …, 2008",S Mousavi  P Moallem,"Look manually at: https://scholar.google.com/scholar?start=80&q=Fuzzy+rule-based+color+segmentation&hl=en&as_sdt=0,5&as_ylo=2000",0,10.7748/ns.16.31.23.s39
39,"S KOBASH, Y HATA, Y KITAMURA…",A Fuzzy Rule-Based Region Growing Method for Segmenting 3-D Dynamic MR Images,2,2000, jstage.jst.go.jp, … of the Biomedical Fuzzy …,https://www.jstage.jst.go.jp/article/ijbschs/6/1/6_KJ00002537785/_article/-char/ja/,0,10.1109/ultsym.2000.921653
98,"P Messias, MJ Sousa…",Color-based superpixel semantic segmentation for fire data annotation,2,2021, ieeexplore.ieee.org,IEEE …,https://ieeexplore.ieee.org/abstract/document/9494421/,0,10.1109/fuzz45933.2021.9494421
38,"B Moradi, R Demirci",Fuzzy logic and graph based segmentation,2,2015, ieeexplore.ieee.org, 2015 23nd Signal Processing and …,https://ieeexplore.ieee.org/abstract/document/7129863/,0,10.1109/siu.2015.7129863
97,"S Marc-Zwecker, K Asnoune…",A fuzzy-rule based ontology for urban object recognition,1,2014, scitepress.org, … Conference on Knowledge …,https://www.scitepress.org/Papers/2014/50266/,0,10.5220/0005026601530160
