Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
14,"A Ajala Funmilola, OA Oke, TO Adedeji…",Fuzzy kc-means clustering algorithm for medical image segmentation,132,2012, core.ac.uk, Journal of information …,https://core.ac.uk/download/pdf/234676965.pdf,9
66,"T Chaira, AK Ray",Fuzzy image processing and applications with MATLAB,130,2017, books.google.com,,https://books.google.com/books?hl=en&lr=&id=gWjMBQAAQBAJ&oi=fnd&pg=PP1&dq=Fuzzy+clustering+in+image+segmentation&ots=sNmfjMDUsd&sig=4n516NxW6WSkphyFhEmIpKsIyRQ,14
41,"Y Xia, T Wang, R Zhao, Y Zhang",Image segmentation by clustering of spatial patterns,129,2007, Elsevier, Pattern Recognition Letters,https://www.sciencedirect.com/science/article/pii/S0167865507001092,7
34,"DQ Zhang, SC Chen, ZS Pan…",Kernel-based fuzzy clustering incorporating spatial constraints for image segmentation,129,2003, ieeexplore.ieee.org, Proceedings of the 2003 …,https://ieeexplore.ieee.org/abstract/document/1259869/,6
49,"JC Noordam, W Van Den Broek…",Geometrically guided fuzzy c-means clustering for multivariate image segmentation,127,2000, ieeexplore.ieee.org, … Conference on Pattern …,https://ieeexplore.ieee.org/abstract/document/905376/,5
75,"GC Karmakar, LS Dooley",A generic fuzzy rule based image segmentation algorithm,125,2002, Elsevier, pattern recognition letters,https://www.sciencedirect.com/science/article/pii/S0167865502000697,5
18,"Z Wang, Q Song, YC Soh, K Sim",An adaptive spatial information-theoretic fuzzy clustering algorithm for image segmentation,124,2013, Elsevier, Computer Vision and Image …,https://www.sciencedirect.com/science/article/pii/S1077314213000957,10
4,"G Liu, Y Zhang, A Wang",Incorporating adaptive local information into fuzzy clustering for image segmentation,124,2015, ieeexplore.ieee.org, IEEE Transactions on Image …,https://ieeexplore.ieee.org/abstract/document/7159096/,11
70,"Y Yong, Z Chongxun, L Pan",A novel fuzzy c-means clustering algorithm for image thresholding,123,2004, measurement.sk, Measurement science review,https://www.measurement.sk/2004/S1/Yong.pdf,6
59,"AWC Liew, H Yan, NF Law",Image segmentation based on adaptive cluster prototype estimation,122,2005, ieeexplore.ieee.org, IEEE Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/1492398/,6
54,"Y Jiang, K Zhao, K Xia, J Xue, L Zhou, Y Ding…",A novel distributed multitask fuzzy clustering algorithm for automatic MR brain image segmentation,121,2019, Springer, Journal of medical …,https://link.springer.com/article/10.1007/s10916-019-1245-1,17
25,"B Sathya, R Manavalan",Image segmentation by clustering methods: performance analysis,119,2011, Citeseer, International Journal of Computer Applications,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=20d5ff21b564de66a22290d3dad9f287ed9b670a,8
11,"B Sowmya, BS Rani",Colour image segmentation using fuzzy clustering techniques and competitive neural network,118,2011, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494610003261,8
37,"M Shasidhar, VS Raja, BV Kumar",MRI brain image segmentation using modified fuzzy c-means clustering algorithm,117,2011, ieeexplore.ieee.org, … international conference on …,https://ieeexplore.ieee.org/abstract/document/5966492/,8
88,"Z Ji, Q Sun, Y Xia, Q Chen, D Xia, D Feng",Generalized rough fuzzy c-means algorithm for brain MR image segmentation,116,2012, Elsevier, Computer methods and …,https://www.sciencedirect.com/science/article/pii/S0169260711002896,8
6,"L Cinque, G Foresti, L Lombardi",A clustering fuzzy approach for image segmentation,116,2004, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320304000883,5
84,"F Zhao, J Fan, H Liu",Optimal-selection-based suppressed fuzzy c-means clustering algorithm with self-tuning non local spatial information for image segmentation,112,2014, Elsevier, Expert systems with applications,https://www.sciencedirect.com/science/article/pii/S0957417414000104,9
87,"F Zhao, L Jiao, H Liu",Fuzzy c-means clustering with non local spatial information for noisy image segmentation,109,2011, Springer, Frontiers of Computer Science in China,https://link.springer.com/article/10.1007/s11704-010-0393-8,7
51,"A Bali, SN Singh",A review on the strategies and techniques of image segmentation,109,2015, ieeexplore.ieee.org, 2015 Fifth international conference on …,https://ieeexplore.ieee.org/abstract/document/7079063/,10
53,"S Saha, S Bandyopadhyay",MRI brain image segmentation by fuzzy symmetry based genetic clustering technique,108,2007, ieeexplore.ieee.org, 2007 IEEE Congress on …,https://ieeexplore.ieee.org/abstract/document/4425049/,6
8,"SK Choy, SY Lam, KW Yu, WY Lee, KT Leung",Fuzzy model-based clustering and its application in image segmentation,106,2017, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320317301085,12
47,"S Yin, Y Qian, M Gong",Unsupervised hierarchical image segmentation through fuzzy entropy maximization,106,2017, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320317301115,12
33,"Z Zaixin, C Lizhi, C Guangquan",Neighbourhood weighted fuzzy c‐means clustering algorithm for image segmentation,105,2014, Wiley Online Library, IET Image processing,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2011.0128,9
42,"D Xiang, T Tang, C Hu, Y Li, Y Su",A kernel clustering algorithm with fuzzy factor: Application to SAR image segmentation,104,2013, ieeexplore.ieee.org, IEEE Geoscience and …,https://ieeexplore.ieee.org/abstract/document/6685860/,8
12,"F Zhao, H Liu, J Fan",A multiobjective spatial fuzzy clustering algorithm for image segmentation,103,2015, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494615000605,9
82,"RS Kabade, MS Gaikwad",Segmentation of brain tumour and its area calculation in brain MR images using K-mean clustering and fuzzy C-mean algorithm,100,2013, ijcset.com, Int. J. Comput. Sci. Eng. Technol,http://ijcset.com/docs/IJCSET13-04-05-072.pdf,8
68,"N Dhanachandra, YJ Chanu",An image segmentation approach based on fuzzy c-means and dynamic particle swarm optimization algorithm,93,2020, Springer, Multimedia tools and applications,https://link.springer.com/article/10.1007/s11042-020-08699-8,16
43,"X Zhao, Y Li, Q Zhao",Mahalanobis distance based on fuzzy clustering algorithm for image segmentation,90,2015, Elsevier, Digital Signal Processing,https://www.sciencedirect.com/science/article/pii/S1051200415001414,8
94,"Y Yang, C Zheng, P Lin",Fuzzy C-means clustering algorithm with a novel penalty term for image segmentation,88,2005, Citeseer, Optoelectronics Review,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d9b35e15b27939f4e663b28b059c7ff2a2bc2e1d,4
45,"TM Tuan, TT Ngan, LH Son",A novel semi-supervised fuzzy clustering method based on interactive fuzzy satisficing for dental x-ray image segmentation,77,2016, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-016-0763-5,8
38,"MS Choudhry, R Kapoor",Performance analysis of fuzzy C-means clustering methods for MRI image segmentation,75,2016, Elsevier, Procedia Computer Science,https://www.sciencedirect.com/science/article/pii/S1877050916311176,8
50,"P Sharma, J Suji",A review on image segmentation with its clustering techniques,75,2016, academia.edu, International Journal of Signal Processing  Image …,https://www.academia.edu/download/89428045/18.pdf,8
73,"KH Memon, S Memon, MA Qureshi, MB Alvi…",Kernel Possibilistic Fuzzy c-Means Clustering with Local Information for Image Segmentation,45,2019, Springer, … Journal of Fuzzy …,https://link.springer.com/article/10.1007/s40815-018-0537-9,6
72,"P Maji, S Roy",Rough-fuzzy clustering and unsupervised feature selection for wavelet based MR image segmentation,35,2015, journals.plos.org, PLoS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0123677,3
26,"NK Yadav, M Saraswat",A novel fuzzy clustering based method for image segmentation in RGB-D images,27,2022, Elsevier, Engineering Applications of Artificial Intelligence,https://www.sciencedirect.com/science/article/pii/S095219762200029X,7
100,"M Hasanzadeh, S Kasaei",A multispectral image segmentation method using size-weighted fuzzy clustering and membership connectedness,25,2010, ieeexplore.ieee.org, IEEE Geoscience and Remote …,https://ieeexplore.ieee.org/abstract/document/5424062/,2
74,"J Chen, C Yang, G Xu, L Ning",Image segmentation method using fuzzy C mean clustering based on multi-objective optimization,24,2018, iopscience.iop.org, journal of physics: conference …,https://iopscience.iop.org/article/10.1088/1742-6596/1004/1/012035/meta,3
77,"EA Zanaty, S Aljahdali, NC Debnath",Improving fuzzy algorithms for automatic magnetic resonance image segmentation.,22,2008, mail.aljahdali.net, SEDE,https://mail.aljahdali.net/journals/2010%20Improving%20fuzzy%20algorithms%20for%20automatic%20Magnetic.pdf,1
99,"M Mohammdian-Khoshnoud, AR Soltanian…",Optimization of fuzzy c-means (FCM) clustering in cytology image segmentation using the gray wolf algorithm,20,2022, Springer, BMC Molecular and Cell …,https://link.springer.com/article/10.1186/S12860-022-00408-7,5
98,"C Wu, Z Wang",A modified fuzzy dual-local information c-mean clustering algorithm using quadratic surface as prototype for image segmentation,17,2022, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417422004377,4
32,"D Kumar, RK Agrawal, JS Kirar",Intuitionistic fuzzy clustering method with spatial information for mri image segmentation,17,2019, ieeexplore.ieee.org,IEEE …,https://ieeexplore.ieee.org/abstract/document/8858865/,2
40,"P Kaur, P Sharma, A Palmia",Fuzzy clustering‐based image segmentation techniques used to segment magnetic resonance imaging/computed tomography scan brain tissues: Comparative …,16,2020, Wiley Online Library, International Journal of Imaging …,https://onlinelibrary.wiley.com/doi/abs/10.1002/ima.22439,3
79,"J Zhang, X Zhang, J Zhang",Image segmentation method based on improved genetic algorithm and fuzzy clustering,15,2011, Trans Tech Publ, Advanced Materials Research,https://www.scientific.net/AMR.143-144.379,1
89,"T Wei, X Wang, J Wu, S Zhu",Interval type-2 possibilistic fuzzy clustering noisy image segmentation algorithm with adaptive spatial constraints and local feature weighting & clustering …,15,2023, Elsevier, International Journal of Approximate …,https://www.sciencedirect.com/science/article/pii/S0888613X23000324,5
95,"L Zhang, J Wang, Z An",FCM fuzzy clustering image segmentation algorithm based on fractional particle swarm optimization,14,2020, content.iospress.com, Journal of Intelligent & Fuzzy Systems,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs179580,2
91,"SN Kumar, A Lenin Fred, H Ajay Kumar…",Firefly optimization based improved fuzzy clustering for CT/MR image segmentation,13,2019, Springer, … techniques for image …,https://link.springer.com/chapter/10.1007/978-3-319-96002-9_1,2
76,"X Gao, Y Zhang, H Wang, Y Sun, F Zhao, X Zhang",A modified fuzzy clustering algorithm based on dynamic relatedness model for image segmentation,12,2023, Springer, The Visual Computer,https://link.springer.com/article/10.1007/s00371-022-02430-4,4
22,"S Song, Z Jia, J Yang, N Kasabov",Image segmentation based on fuzzy low-rank structural clustering,10,2022, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/9944178/,2
86,"BA Mohammed, MS Al-Ani",Digital medical image segmentation using fuzzy C-means clustering,10,2020, journals.uhd.edu.iq, UHD Journal of Science and …,https://journals.uhd.edu.iq/index.php/uhdjst/article/view/691,2
97,"R Jain, RS Sharma",Image segmentation through fuzzy clustering: A survey,9,2019, Springer, Harmony Search and Nature Inspired Optimization …,https://link.springer.com/chapter/10.1007/978-981-13-0761-4_48,1
