Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
51,"A Gaur, S Yadav",Handwritten Hindi character recognition using k-means clustering and SVM,74,2015, ieeexplore.ieee.org, … and technologies in libraries and information …,https://ieeexplore.ieee.org/abstract/document/7048173/,7
23,"H Inbarani H, AT Azar",Leukemia image segmentation using a hybrid histogram-based soft covering rough k-means clustering algorithm,72,2020, mdpi.com, Electronics,https://www.mdpi.com/2079-9292/9/1/188,12
70,"SK Behera, L Jena, AK Rath…",Disease classification and grading of orange using machine learning and fuzzy logic,71,2018, ieeexplore.ieee.org, … on Communication and …,https://ieeexplore.ieee.org/abstract/document/8524415/,9
65,"M Anas, K Gupta, S Ahmad",Skin cancer classification using K-means clustering,64,2017, ijtra.com, International Journal of Technical Research …,https://www.ijtra.com/view/skin-cancer-classification-using-k-means-clustering.pdf,7
24,"P Filipczuk, M Kowal, A Obuchowicz",Automatic breast cancer diagnosis based on k-means clustering and adaptive thresholding hybrid segmentation,62,2011, Springer, Image processing and …,https://link.springer.com/content/pdf/10.1007/978-3-642-23154-4.pdf#page=291,4
47,"S Kumar, SK Singh",Automatic identification of cattle using muzzle point pattern: a hybrid feature extraction and classification paradigm,61,2017, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-016-4181-9,7
85,"M Nasor, W Obaid","Detection and Localization of Early‐Stage Multiple Brain Tumors Using a Hybrid Technique of Patch‐Based Processing, k‐means Clustering and Object Counting",46,2020, Wiley Online Library, International Journal of Biomedical …,https://onlinelibrary.wiley.com/doi/abs/10.1155/2020/9035096,8
54,"A Nanda, RC Barik, S Bakshi",SSO-RBNN driven brain tumor classification with Saliency-K-means segmentation technique,42,2023, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809422008102,14
64,"M Malathi, P Sinthia",MRI brain tumour segmentation using hybrid clustering and classification by back propagation algorithm,42,2018, pmc.ncbi.nlm.nih.gov, Asian Pacific Journal of Cancer …,https://pmc.ncbi.nlm.nih.gov/articles/PMC6318394/,5
12,"YP Huang, P Singh, HC Kuo",A hybrid fuzzy clustering approach for the recognition and visualization of MRI images of Parkinson's disease,41,2020, ieeexplore.ieee.org, Ieee Access,https://ieeexplore.ieee.org/abstract/document/8970526/,7
38,"A Jamel, B Akay",A survey and systematic categorization of parallel k-means and fuzzy-c-means algorithms,41,2019, researchgate.net, Computer Systems Science and Engineering,https://www.researchgate.net/profile/Ahmed-Cemiloglu/publication/337056803_A_Survey_and_Systematic_Categorization_of_Parallel_K-means_and_Fuzzy-c-Means_Algorithms/links/5f8170cf458515b7cf74d4c4/A-Survey-and-Systematic-Categorization-of-Parallel-K-means-and-Fuzzy-c-Means-Algorithms.pdf,6
90,"MM Ettefagh, M Ghaemi, MY Asr",Bearing fault diagnosis using hybrid genetic algorithm K-means clustering,39,2014, ieeexplore.ieee.org, 2014 IEEE international …,https://ieeexplore.ieee.org/abstract/document/6873601/,3
60,"S Sivarathri, A Govardhan","Experiments on hypothesis"" fuzzy k-means is better than k-means for clustering",38,2014, academia.edu, International Journal of Data Mining & …,https://www.academia.edu/download/57276758/4514ijdkp02.pdf,3
74,"CG Varma, P Nagaraj, V Muneeswaran…",Astute Segmentation and Classification of leucocytes in blood microscopic smear images using titivated K-means clustering and robust SVM techniques,38,2021, ieeexplore.ieee.org, … and Control Systems …,https://ieeexplore.ieee.org/abstract/document/9432309/,8
73,"H Habib, R Amin, B Ahmed, A Hannan","Hybrid algorithms for brain tumor segmentation, classification and feature extraction",38,2022, Springer, Journal of Ambient Intelligence …,https://link.springer.com/article/10.1007/s12652-021-03544-8,10
4,"S Simaiya, UK Lilhore, D Prasad…",MRI brain tumour detection & image segmentation by hybrid hierarchical K-means clustering with FCM based machine learning model,37,2021, search.proquest.com, Annals of the …,https://search.proquest.com/openview/4b914e759b2aec2d2ff4eda7fe07b941/1?pq-origsite=gscholar&cbl=2031963,7
76,"Y Peng, T Wu, G Cao, S Huang, H Wu, N Kwok, Z Peng",A hybrid search-tree discriminant technique for multivariate wear debris classification,36,2017, Elsevier, Wear,https://www.sciencedirect.com/science/article/pii/S0043164817312516,4
82,"N Nandhini, R Bhavani",Feature extraction for diseased leaf image classification using machine learning,35,2020, ieeexplore.ieee.org, 2020 International Conference on …,https://ieeexplore.ieee.org/abstract/document/9104203/,6
84,"S Jardim, J António, C Mora",Graphical image region extraction with k-means clustering and watershed,33,2022, mdpi.com, Journal of Imaging,https://www.mdpi.com/2313-433X/8/6/163,8
14,"Y Wicaksono, RS Wahono…",Color and texture feature extraction using gabor filter-local binary patterns for image segmentation with fuzzy C-means,33,2015, academia.edu, Journal of Intelligent …,https://www.academia.edu/download/83073892/14.pdf,3
8,"M Fachrurrozi, A Fiqih, BR Saputra…",Content based image retrieval for multi-objects fruits recognition using k-means and k-nearest neighbor,32,2017, ieeexplore.ieee.org, … conference on data …,https://ieeexplore.ieee.org/abstract/document/8285855/,4
66,"X Ran, N Suyaroj, W Tepsan, J Ma, X Zhou…",A hybrid genetic-fuzzy ant colony optimization algorithm for automatic K-means clustering in urban global positioning system,32,2024, Elsevier, … Applications of Artificial …,https://www.sciencedirect.com/science/article/pii/S0952197624013952,16
87,"CC Chang, YZ Li, HC Wu, MH Tseng",Melanoma detection using XGB classifier combined with feature extraction and K-means SMOTE techniques,31,2022, mdpi.com, Diagnostics,https://www.mdpi.com/2075-4418/12/7/1747,8
48,"SN Sulaiman, NA Mat-Isa, NH Othman…",Improvement of features extraction process and classification of cervical cancer for the neuralpap system,30,2015, Elsevier, Procedia Computer …,https://www.sciencedirect.com/science/article/pii/S1877050915023558,3
96,"S Saxena, N Kumari, S Pattnaik",Brain tumour segmentation in FLAIR MRI using sliding window texture feature extraction followed by fuzzy C-means clustering,30,0,global.com,,https://www.igi-global.com/article/brain-tumour-segmentation-in-flair-mri-using-sliding-window-texture-feature-extraction-followed-by-fuzzy-c-means-clustering/269412,0
18,S Arumugadevi…,Comparison of clustering methods for segmenting color images,29,0,2.amazonaws …,,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2015/Issue-7/Article6.pdf,0
5,"K Nongmeikapam, WK Kumar…",Fast and automatically adjustable GRBF kernel based fuzzy C‐means for cluster‐wise coloured feature extraction and segmentation of MR images,29,2018, Wiley Online Library, IET image processing,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2017.1102,4
63,"MD Javeed, R Nagaraju…","Brain tumor segmentation and classification with hybrid clustering, probabilistic neural networks",29,2023, content.iospress.com, … Intelligent & Fuzzy …,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs232493,10
46,"MVS Ramprasad, MZU Rahman…",A deep probabilistic sensing and learning model for brain tumor classification with fusion-net and HFCMIK segmentation,29,2022, ieeexplore.ieee.org, IEEE Open Journal of …,https://ieeexplore.ieee.org/abstract/document/9928545/,7
19,"PK Chahal, S Pandey",A hybrid weighted fuzzy approach for brain tumor segmentation using MR images,29,2023, Springer, Neural Computing and Applications,https://link.springer.com/article/10.1007/s00521-021-06010-w,10
3,"VK Trivedi, PK Shukla, A Pandey",Automatic segmentation of plant leaves disease using min-max hue histogram and k-mean clustering,29,2022, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-022-12518-7,7
52,"N Kumari, RK Dwivedi, AK Bhatt, R Belwal",Automated fruit grading using optimal feature selection and hybrid classification by self-adaptive chicken swarm optimization: grading of mango,26,2022, Springer, Neural computing and …,https://link.springer.com/article/10.1007/s00521-021-06473-x,6
42,"A Joseph, ES Rex, S Christopher, J Jose",Content-based image retrieval using hybrid k-means moth flame optimization algorithm,25,2021, Springer, Arabian Journal of Geosciences,https://link.springer.com/article/10.1007/s12517-021-06990-y,5
100,"JL Tang, ZG Zhang, D Wang, J Xin, LJ He",Research on weeds identification based on K-means feature learning,24,2018, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-018-3125-x,3
77,"EAA Maksoud, M Elmogy, RM Al-Awadi",MRI brain tumor segmentation system based on hybrid clustering techniques,23,2014, Springer, Advanced Machine Learning …,https://link.springer.com/chapter/10.1007/978-3-319-13461-1_38,2
86,"YP Huang, P Singh, WL Kuo, HC Chu",A type-2 fuzzy clustering and quantum optimization approach for crops image segmentation,23,2021, Springer, International Journal of Fuzzy …,https://link.springer.com/article/10.1007/s40815-020-01009-2,5
89,"Y Li, X Zhou, J Gu, K Guo, W Deng",A novel K-means clustering method for locating urban hotspots based on hybrid heuristic initialization,23,2022, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/12/16/8047,6
80,"A Bhattacharjee, R Murugan, T Goel",A hybrid approach for lung cancer diagnosis using optimized random forest classification and K-means visualization algorithm,22,2022, Springer, Health and Technology,https://link.springer.com/article/10.1007/s12553-022-00679-2,6
75,"FAP Rani, SN Kumar, AL Fred, C Dyson…",K-means clustering and SVM for plant leaf disease detection and classification,22,2019, ieeexplore.ieee.org, … on Recent Advances …,https://ieeexplore.ieee.org/abstract/document/8995157/,3
11,"RS Devi, B Perumal, MP Rajasekaran",… hybrid deep learning based brain tumor classification and segmentation by stationary wavelet packet transform and adaptive kernel fuzzy c means clustering,21,2022, Elsevier, Advances in Engineering Software,https://www.sciencedirect.com/science/article/pii/S0965997822000576,5
9,"AS Reddy, PC Reddy",A hybrid K-means algorithm improving low-density map-based medical image segmentation with density modification,21,2019, inderscienceonline.com, International Journal of Biomedical …,https://www.inderscienceonline.com/doi/abs/10.1504/IJBET.2019.102122,3
71,S Prabu,Object segmentation based on the integration of adaptive K-means and GrabCut algorithm,21,2022, ieeexplore.ieee.org, 2022 International Conference on Wireless …,https://ieeexplore.ieee.org/abstract/document/9767099/,5
33,"TZT Muda, RA Salam",Blood cell image segmentation using hybrid k-means and median-cut algorithms,20,2011, ieeexplore.ieee.org, 2011 IEEE International Conference on …,https://ieeexplore.ieee.org/abstract/document/6190529/,1
34,"V Kanabur, SS Harakannanavar, VI Purnikmath…",Detection of leaf disease using hybrid feature extraction techniques and CNN classifier,20,2020, Springer,Inspired …,https://link.springer.com/chapter/10.1007/978-3-030-37218-7_127,3
36,"AS Yadav, S Kumar, GR Karetla, JC Cotrina-Aliaga…",A feature extraction using probabilistic neural network and BTFSC-net model with deep learning for brain tumor classification,19,2022, mdpi.com, Journal of …,https://www.mdpi.com/2313-433X/9/1/10,5
83,"S Saifullah, AP Suryotomo",Thresholding and hybrid CLAHE-HE for chicken egg embryo segmentation,19,2021, ieeexplore.ieee.org, … on Communication & Information …,https://ieeexplore.ieee.org/abstract/document/9568444/,4
94,"VD Midasala, B Prabhakar, JK Chaitanya…",MFEUsLNet: Skin cancer detection and classification using integrated AI with multilevel feature extraction-based unsupervised learning,18,2024, Elsevier, … Science and Technology …,https://www.sciencedirect.com/science/article/pii/S2215098624000181,9
6,"P Filipczuk, M Kowal…",Breast fibroadenoma automatic detection using k-means based hybrid segmentation method,18,2012, ieeexplore.ieee.org, 2012 9th IEEE …,https://ieeexplore.ieee.org/abstract/document/6235887/,1
91,"MR Kanthan, SN Sujatha",Rain drop detection and removal using k-means clustering,18,2015, ieeexplore.ieee.org, 2015 IEEE International Conference …,https://ieeexplore.ieee.org/abstract/document/7435707/,2
99,"Prathyakshini, Akshaya, CV Aravinda",Classification and clustering of infected leaf plant using k-means algorithm,17,2017, Springer, … Computing and Information …,https://link.springer.com/chapter/10.1007/978-981-10-9059-2_41,2
27,"C Correa Farias, C Valero Ubierna, P Barreiro Elorza",Characterization of vineyard's canopy through fuzzy clustering and svm over color images,17,2012, oa.upm.es,,https://oa.upm.es/id/eprint/13687,1
17,"P Vaibhavi, K Rupal",Brain tumor segmentation using K-means–FCM hybrid technique,15,2018, Springer, Ambient Communications and Computer Systems …,https://link.springer.com/chapter/10.1007/978-981-10-7386-1_30,2
45,"A Mohanty, S Rajkumar, ZM Mir…",Analysis of color images using cluster based segmentation techniques,15,2013, researchgate.net, International Journal of …,https://www.researchgate.net/profile/Rajkumar-Soundrapandiyan-2/publication/269908112_Analysis_of_Color_Images_using_Cluster_based_Segmentation_Techniques/links/54f5133b0cf2ba6150649154/Analysis-of-Color-Images-using-Cluster-based-Segmentation-Techniques.pdf,1
69,"H Singh, R Rani, S Mahajan",Detection and classification of citrus leaf disease using hybrid features,15,2020, Springer, Soft Computing: Theories and Applications …,https://link.springer.com/chapter/10.1007/978-981-15-0751-9_67,2
68,"P Sathish, NM Elango",Gaussian hybrid fuzzy clustering and radial basis neural network for automatic brain tumor classification in MRI images,15,2022, Springer, Evolutionary Intelligence,https://link.springer.com/article/10.1007/s12065-020-00433-5,4
72,"SA El-Khatib, YA Skobtsov, SI Rodzin",Comparison of Hybrid ACO-k-means algorithm and Grub cut for MRI images segmentation,14,2021, Elsevier, Procedia Computer Science,https://www.sciencedirect.com/science/article/pii/S1877050921009686,3
59,"MFM Yunoh, S Abdullah, MHM Saad…",Fatigue feature extraction analysis based on a K-means clustering approach,14,2015, journal.ump.edu.my, Journal of …,https://journal.ump.edu.my/jmes/article/view/8238,1
22,"S Dalal, UK Lilhore, P Manoharan, U Rani, F Dahan…",An efficient brain tumor segmentation method based on adaptive moving self-organizing map and fuzzy K-mean clustering,14,2023, mdpi.com, Sensors,https://www.mdpi.com/1424-8220/23/18/7816,5
15,"Madhu, R Kumar",A hybrid feature extraction technique for content based medical image retrieval using segmentation and clustering techniques,13,2022, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/S11042-022-11901-8,3
28,"L Khrissi, NEL Akkad, H Satori…",Color image segmentation based on hybridization between Canny and k-means,12,2019, ieeexplore.ieee.org, 2019 7th Mediterranean …,https://ieeexplore.ieee.org/abstract/document/8931358/,2
95,"J Avanija, K Ramar",A hybrid approach using pso and k-means for semantic clustering of web documents,12,2013, journals.riverpublishers.com, Journal of web engineering,https://journals.riverpublishers.com/index.php/JWE/article/view/4159,1
16,"MD Chodey, CN Shariff",Pest detection via hybrid classification model with fuzzy C-means segmentation and proposed texture feature,12,2023, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S174680942300143X,4
25,"K Nongmeikapam, WK Kumar…",An unsupervised cluster-wise color segmentation of medical and camera images using genetically improved fuzzy-Markovian decision relational model,11,2018, content.iospress.com, … Intelligent & Fuzzy …,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs17968,1
88,"YM Rajput, RR Manza, MB Patwari",Extraction of cotton wool spot using multi resolution analysis and classification using K-means clustering,11,2015, Citeseer, Int J Comput Appl,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=95c329e25924796325ab094a3630258e567601ef,1
29,N Rajalakshmi…,Mri brain image classification—a hybrid approach,10,2015, Wiley Online Library, International Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/ima.22140,1
20,"N Rajalakshmi, VL Prabha",Automated classification of brain MRI using color converted K-means clustering segmentation and application of different kernel functions with multi-class SVM,10,2013, core.ac.uk, European Scientific Journal,https://core.ac.uk/download/pdf/328023769.pdf,1
58,"R Gogoi, KK Sarma",ANFIS based information extraction using k-means clustering for application in satellite images,9,2012, academia.edu, International Journal of Computer Applications,https://www.academia.edu/download/30575184/pxc3880872.pdf,1
50,"JB Padhy, DD Kumar, L Manish…",Leaf disease detection using K-means clustering and fuzzy logic classifier,9,2016, academia.edu, Int J Eng Stud Tech …,https://www.academia.edu/download/65767565/01.05.2016.pdf,1
31,RK Duggirala,Segmenting images using hybridization of k-means and fuzzy c-means algorithms,8,2019, books.google.com, Introduction to data science and machine …,https://books.google.com/books?hl=en&lr=&id=THb-DwAAQBAJ&oi=fnd&pg=PA131&dq=Hybrid+fuzzy+K-means+for+color+feature+extraction&ots=yFsqvT_iin&sig=rNAxfcpZk6CJI-o61-bfngJrLPk,1
81,"OM Jafar, R Sivakumar",Hybrid fuzzy data clustering algorithm using different distance metrics: a comparative study,8,2014, researchgate.net, International Journal of Soft Computing …,https://www.researchgate.net/profile/Sivakumar-Ramakrishnan-2/publication/273069092_Hybrid_Fuzzy_Data_Clustering_Algorithm_Using_Different_Distance_Metrics_A_Comparative_Study/links/54f6c34d0cf27d8ed71ebd62/Hybrid-Fuzzy-Data-Clustering-Algorithm-Using-Different-Distance-Metrics-A-Comparative-Study.pdf,1
41,"MN Mohanty, A Das",Skin cancer detection from dermatoscopic images using hybrid fuzzy ensemble learning model,8,2024, Springer, International Journal of Fuzzy Systems,https://link.springer.com/article/10.1007/s40815-023-01593-z,4
62,"P Kavitha, V Jayalakshmi…",Classification of skin cancer segmentation using hybrid partial differential equation with fuzzy clustering based on machine learning techniques,8,2022, ieeexplore.ieee.org, … Conference on Edge …,https://ieeexplore.ieee.org/abstract/document/9936066/,2
39,"R Kumar, R Srivastava, S Srivastava",Microscopic biopsy image segmentation using hybrid color K-means approach,7,0,global.com,,https://www.igi-global.com/article/microscopic-biopsy-image-segmentation-using-hybrid-color-k-means-approach/177202,0
67,"S Shedthi B, M Siddappa, S Shetty, V Shetty…",Detection and classification of diseased plant leaf images using hybrid algorithm,7,2023, Springer, Multimedia Tools and …,https://link.springer.com/article/10.1007/s11042-023-14751-0,2
43,"H Naz, T Saba, FS Alamri, AS Almasoud…",An improved robust fuzzy local information k-means clustering algorithm for diabetic retinopathy detection,5,2024, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/10506509/,2
57,"S Kumar, AK Shukla",Could not catch title,5,0," International Journal of Current Engineering …, 2017",S Kumar,"Look manually at: https://scholar.google.com/scholar?start=50&q=Hybrid+fuzzy+K-means+for+color+feature+extraction&hl=en&as_sdt=0,5&as_ylo=2000",0
55,"AH Lal, E Sreenivasulu, MA Kumar…",Implementation of Brain Tumor Detection with Deep Learning Classification Using Hybrid Feature Extraction,5,2022, ieeexplore.ieee.org, … Electronics  Information …,https://ieeexplore.ieee.org/abstract/document/9768532/,1
98,"K Perumal, VG Karthikram",A Fusion of SOM and Fuzzy C-Means for Image Processing,4,2013, search.proquest.com, International Journal of Computer …,https://search.proquest.com/openview/5b4e17b5e195e299db3030958935ab63/1.pdf?pq-origsite=gscholar&cbl=2026578,0
32,"Z Khan, J Yang",Nonparametric K-means clustering-based adaptive unsupervised colour image segmentation,3,2024, Springer, Pattern Analysis and Applications,https://link.springer.com/article/10.1007/s10044-024-01228-5,2
21,"Lakshmana, SKS Manvi…",Hybrid kernel fuzzy C-means clustering segmentation algorithm for content based medical image retrieval application,3,2021, inderscienceonline.com, International Journal of …,https://www.inderscienceonline.com/doi/abs/10.1504/IJBRA.2021.120534,1
30,"N Shunmuganathan, V Sheshathri…",A Hybrid Image Segmentation Method Using Firefly And Artificial Bee Colony Algorithms For Color Images,2,2022, publishoa.com, Journal of Algebraic …,https://www.publishoa.com/index.php/journal/article/view/1236,0
37,"A Magsi, JA Mahar, A Maitlo, M Ahmad, MA Razzaq…",A new hybrid algorithm for intelligent detection of sudden decline syndrome of date palm disease,2,2023, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-023-41727-9,1
