Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
96,"K Kandali, L Bennis, H Bennis",A new hybrid routing protocol using a modified K-means clustering algorithm and continuous hopfield network for VANET,110,2021, ieeexplore.ieee.org, IEEE access,https://ieeexplore.ieee.org/abstract/document/9382997/,22
86,"AB Ayed, MB Halima, AM Alimi",Survey on clustering methods: Towards fuzzy clustering for big data,110,2014, ieeexplore.ieee.org, 2014 6th International …,https://ieeexplore.ieee.org/abstract/document/7008028/,9
18,"RS Kabade, MS Gaikwad",Segmentation of brain tumour and its area calculation in brain MR images using K-mean clustering and fuzzy C-mean algorithm,100,2013, ijcset.com, Int. J. Comput. Sci. Eng. Technol,http://ijcset.com/docs/IJCSET13-04-05-072.pdf,8
71,"N Mathur, S Mathur, D Mathur",A novel approach to improve sobel edge detector,93,2016, Elsevier, Procedia Computer Science,https://www.sciencedirect.com/science/article/pii/S1877050916314727,9
37,"DM Kumar, D Satyanarayana, MNG Prasad",MRI brain tumor detection using optimal possibilistic fuzzy C-means clustering algorithm and adaptive k-nearest neighbor classifier,79,2021, Springer, Journal of Ambient …,https://link.springer.com/article/10.1007/s12652-020-02444-7,16
90,"AMS Aldobhani, R John",Maximum power point tracking of PV system using ANFIS prediction and fuzzy logic tracking,79,2008, Citeseer,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=57c7bb91d41c6b59e79c68b63e7c6036c4eb53d1,4
31,"S Zhao, W Li, J Cao","A user-adaptive algorithm for activity recognition based on k-means clustering, local outlier factor, and multivariate gaussian distribution",78,2018, mdpi.com, Sensors,https://www.mdpi.com/1424-8220/18/6/1850,10
27,C Zhen,Using Big Data Fuzzy K‐Means Clustering and Information Fusion Algorithm in English Teaching Ability Evaluation,75,2021, Wiley Online Library, Complexity,https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/5554444,15
97,"A Karahoca, D Karahoca",GSM churn management by using fuzzy c-means clustering and adaptive neuro fuzzy inference system,75,2011, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417410007384,5
41,"S Basar, M Ali, G Ochoa-Ruiz, M Zareei, A Waheed…",Unsupervised color image segmentation: A case of RGB histogram based K-means clustering initialization,74,2020, journals.plos.org, Plos one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240015,12
26,"G Bello-Orgaz, HD Menéndez…",Adaptive k-means algorithm for overlapped graph clustering,73,2012, World Scientific, International journal of …,https://www.worldscientific.com/doi/abs/10.1142/s0129065712500189,5
45,"M Gamal, NE Mekky, HH Soliman, NA Hikal",Enhancing the lifetime of wireless sensor networks using fuzzy logic LEACH technique-based particle swarm optimization,72,2022, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9745039/,18
8,"O Mohammadrezapour, O Kisi…",Fuzzy c-means and K-means clustering with genetic algorithm for identification of homogeneous regions of groundwater quality,72,2020, Springer, Neural Computing and …,https://link.springer.com/article/10.1007/s00521-018-3768-7,12
29,"CM Kim, M Parnichkun",… of settled water turbidity and optimal coagulant dosage in drinking water treatment plant using a hybrid model of k-means clustering and adaptive neuro-fuzzy …,65,2017, Springer, Applied Water Science,https://link.springer.com/article/10.1007/s13201-017-0541-5,7
46,"P Filipczuk, M Kowal, A Obuchowicz",Automatic breast cancer diagnosis based on k-means clustering and adaptive thresholding hybrid segmentation,62,2011, Springer, Image processing and …,https://link.springer.com/content/pdf/10.1007/978-3-642-23154-4.pdf#page=291,4
22,"SVN Santhosh Kumar, Y Palanichamy, M Selvi…",Energy efficient secured K means based unequal fuzzy clustering algorithm for efficient reprogramming in wireless sensor networks,61,2021, Springer, Wireless …,https://link.springer.com/article/10.1007/s11276-021-02660-9,12
73,"TW Chen, SY Chien",Bandwidth adaptive hardware architecture of K-means clustering for video analysis,61,2009, ieeexplore.ieee.org, IEEE transactions on very large scale …,https://ieeexplore.ieee.org/abstract/document/5169840/,4
16,"Y Gao, Z Wang, J Xie, J Pan",A new robust fuzzy c-means clustering method based on adaptive elastic distance,59,2022, Elsevier,Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705121009898,15
62,"PE Jebarani, N Umadevi, H Dang, M Pomplun",A novel hybrid K-means and GMM machine learning model for breast cancer detection,52,2021, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9590488/,10
24,"MY Kamil, AM Salih",Mammography Images Segmentation via Fuzzy C-mean and K-mean,50,2019, inass.org, International Journal of Intelligent Engineering and …,http://www.inass.org/2019/2019022803.pdf,7
77,"Y Ao, S Laghrouche, D Depernet",Diagnosis of proton exchange membrane fuel cell system based on adaptive neural fuzzy inference system and electrochemical impedance spectroscopy,48,2022, Elsevier, Energy Conversion and Management,https://www.sciencedirect.com/science/article/pii/S019689042200187X,12
50,"R Ensafi, S Dehghanzadeh…",Optimizing fuzzy k-means for network anomaly detection using pso,47,2008, ieeexplore.ieee.org, 2008 IEEE/ACS …,https://ieeexplore.ieee.org/abstract/document/4493603/,3
87,"J Zhang, HSH Chung, BJ Hu",Adaptive probabilities of crossover and mutation in genetic algorithms based on clustering technique,42,2004, ieeexplore.ieee.org, Proceedings of the 2004 …,https://ieeexplore.ieee.org/abstract/document/1331181/,2
38,"G Raju, B Thomas, S Tobgay…",Fuzzy clustering methods in data mining: A comparative case analysis,41,2008, ieeexplore.ieee.org, … Conference on advanced …,https://ieeexplore.ieee.org/abstract/document/4737006/,2
92,"R Dhivya, R Prakash",RETRACTED ARTICLE: Edge detection of satellite image using fuzzy logic,40,2019, Springer, Cluster Computing,https://link.springer.com/article/10.1007/s10586-017-1508-x,6
99,"SS Kumar, M Moorthi, M Madhu…",An improved method of segmentation using fuzzy-neuro logic,38,2010, ieeexplore.ieee.org, … on Computer Research …,https://ieeexplore.ieee.org/abstract/document/5489539/,2
23,"S Sivarathri, A Govardhan","Experiments on hypothesis"" fuzzy k-means is better than k-means for clustering",38,2014, academia.edu, International Journal of Data Mining & …,https://www.academia.edu/download/57276758/4514ijdkp02.pdf,3
100,"F Liu, Y Chang",An energy aware adaptive kernel density estimation approach to unequal clustering in wireless sensor networks,36,2019, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8654618/,5
56,"C Selvi, E Sivasankar",A novel Adaptive Genetic Neural Network (AGNN) model for recommender systems using modified k-means clustering approach,33,2019, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-018-6790-y,5
58,"AB Ayed, MB Halima, AM Alimi",Adaptive fuzzy exponent cluster ensemble system based feature selection and spectral clustering,33,2017, ieeexplore.ieee.org,IEEE …,https://ieeexplore.ieee.org/abstract/document/8015721/,4
85,"M Li, Y Wang, P Yu, Z Sun, Z Chen",Online adaptive energy management strategy for fuel cell hybrid vehicles based on improved cluster and regression learner,32,2023, Elsevier, Energy Conversion and Management,https://www.sciencedirect.com/science/article/pii/S0196890423007343,11
39,"X Ran, N Suyaroj, W Tepsan, J Ma, X Zhou…",A hybrid genetic-fuzzy ant colony optimization algorithm for automatic K-means clustering in urban global positioning system,31,2024, Elsevier, … Applications of Artificial …,https://www.sciencedirect.com/science/article/pii/S0952197624013952,16
21,"CP Pramod, GN Pillai",K-Means clustering based Extreme Learning ANFIS with improved interpretability for regression problems,31,2021, Elsevier,Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705121000137,6
82,"H Choi, KR Castleman, AC Bovik",Segmentation and fuzzy-logic classification of M-FISH chromosome images,30,2006, ieeexplore.ieee.org, … International Conference on …,https://ieeexplore.ieee.org/abstract/document/4106468/,2
55,"AL Cechin, D Regina, P Simon…",State automata extraction from recurrent neural nets using k-means and fuzzy clustering,30,2003, ieeexplore.ieee.org, … Conference of the …,https://ieeexplore.ieee.org/abstract/document/1245447/,1
67,"H Liu, J Chen, J Dy, Y Fu",Transforming complex problems into K-means solutions,30,2023, ieeexplore.ieee.org, IEEE transactions on pattern …,https://ieeexplore.ieee.org/abstract/document/10018468/,10
12,M Kotinis,Improving a multi-objective differential evolution optimizer using fuzzy adaptation and -medoids clustering,29,2014, Springer, Soft computing,https://link.springer.com/article/10.1007/s00500-013-1086-7,2
35,"OR Vincent, AS Makinde, OS Salako…",A self-adaptive k-means classifier for business incentive in a fashion design environment,29,2018, Elsevier, Applied computing and …,https://www.sciencedirect.com/science/article/pii/S2210832717300315,4
54,"JK Sing, DK Basu, M Nasipuri…",Self-adaptive RBF neural network-based segmentation of medical images of the brain,28,2005, ieeexplore.ieee.org, Proceedings of 2005 …,https://ieeexplore.ieee.org/abstract/document/1529496/,1
84,"P Soltani, J Shahrabi, S Asadi…","A study on siro, solo, compact, and conventional ring-spun yarns. Part III: modeling fiber migration using modular adaptive neuro-fuzzy inference system",28,2013, Taylor & Francis, Journal of the Textile …,https://www.tandfonline.com/doi/abs/10.1080/00405000.2012.755295,2
83,"H Kaur, SK Sood",Adaptive neuro fuzzy inference system (ANFIS) based wildfire risk assessment,27,2019, Taylor & Francis, Journal of Experimental & Theoretical Artificial …,https://www.tandfonline.com/doi/abs/10.1080/0952813X.2019.1591523,4
88,"J Nayak, DP Kanungo, B Naik, HS Behera",Evolutionary improved swarm-based hybrid K-means algorithm for cluster analysis,26,2016, Springer, Proceedings of the Second …,https://link.springer.com/chapter/10.1007/978-81-322-2517-1_34,3
81,"F Li, J Gong, Y Liang, J Zhou",Real-time congestion prediction for urban arterials using adaptive data-driven methods,26,2016, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-016-3474-3,3
79,"K Deeparani, P Sudhakar",Efficient image segmentation and implementation of K-means clustering,26,2021, Elsevier, Materials Today: Proceedings,https://www.sciencedirect.com/science/article/pii/S2214785321001978,5
59,"IA Yusoff, NAM Isa, K Hasikin",Automated two-dimensional K-means clustering algorithm for unsupervised image segmentation,25,2013, Elsevier, Computers & Electrical Engineering,https://www.sciencedirect.com/science/article/pii/S0045790612002297,2
15,"TL Le, TT Huynh, LY Lin, CM Lin, F Chao",A K-means Interval Type-2 Fuzzy Neural Network for Medical Diagnosis,24,2019, Springer, International Journal of Fuzzy …,https://link.springer.com/article/10.1007/s40815-019-00730-x,3
10,"Y Gao, D Wang, J Pan, Z Wang, B Chen",A Novel Fuzzy c-Means Clustering Algorithm Using Adaptive Norm,24,2019, Springer, International Journal of Fuzzy …,https://link.springer.com/article/10.1007/s40815-019-00740-9,3
7,SH Alnabelsi,Cervical cancer diagnostic system using adaptive fuzzy moving k-means algorithm and fuzzy min-max neural network,21,2013, academia.edu, Journal of Theoretical and Applied Information …,https://www.academia.edu/download/104989984/6Vol57No1.pdf,2
80,"MW Naikoo, S Talukdar, T Das, A Rahman",Identification of homogenous rainfall regions with trend analysis using fuzzy logic and clustering approach coupled with advanced trend analysis techniques …,21,2022, Elsevier, Urban Climate,https://www.sciencedirect.com/science/article/pii/S2212095522002243,5
11,"A Pickens, S Sengupta","Benchmarking studies aimed at clustering and classification tasks using K-means, fuzzy C-means and evolutionary neural networks",20,2021, mdpi.com, Machine Learning and Knowledge Extraction,https://www.mdpi.com/2504-4990/3/3/35,4
25,"Y Gupta, A Saini",A new swarm-based efficient data clustering approach using KHM and fuzzy logic,20,2019, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-018-3514-1,3
69,"C Waladi, M Khaldi, ML Sefian",Machine Learning Approach for an Adaptive E-Learning System Based on Kolb Learning Styles.,20,2023, academia.edu, Int. J. Emerg. Technol. Learn.,https://www.academia.edu/download/111244722/13403.pdf,7
4,"AM Husein, M Harahap, S Aisyah…",The implementation of two stages clustering (k-means clustering and adaptive neuro fuzzy inference system) for prediction of medicine need based on medical data,20,2018, iopscience.iop.org, Journal of Physics …,https://iopscience.iop.org/article/10.1088/1742-6596/978/1/012019/meta,2
19,"Q Jin, N Lin, Y Zhang",K-means clustering algorithm based on chaotic adaptive artificial bee colony,20,2021, mdpi.com, Algorithms,https://www.mdpi.com/1999-4893/14/2/53,4
17,"K Deshmukh, G Shinde",Adaptive Color Image Segmentation Using Fuzzy Min-Max Clustering.,18,2006, Citeseer, Engineering letters,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1f033ab8dbe95a3622c783878a7121b383ac17be,1
36,"K Rezaee, J Haddadnia",Designing an algorithm for cancerous tissue segmentation using adaptive k-means cluttering and discrete wavelet transform,18,2013, pmc.ncbi.nlm.nih.gov, Journal of biomedical physics & …,https://pmc.ncbi.nlm.nih.gov/articles/PMC4204501/,1
44,"F Ensan, MH Yaghmaee…",FACT: A new fuzzy adaptive clustering technique,18,2006, ieeexplore.ieee.org, 11th IEEE Symposium on …,https://ieeexplore.ieee.org/abstract/document/1691067/,1
51,"KSF Shemim, U Witkowski","Energy Efficient Clustering Protocols for WSN: Performance Analysis of FL-EE-NC with LEACH, K Means-LEACH, LEACH-FL and FL-EE/D using NS-2",17,2020, ieeexplore.ieee.org, 2020 32nd International …,https://ieeexplore.ieee.org/abstract/document/9331768/,3
28,"N Mathur, P Dadheech…",The K-means Clustering based fuzzy edge detection technique on MRI images,17,2015, ieeexplore.ieee.org, 2015 Fifth International …,https://ieeexplore.ieee.org/abstract/document/7433874/,2
63,"AR Hedar, AMM Ibrahim, AE Abdel-Hakim, AA Sewisy",K-means cloning: adaptive spherical k-means clustering,17,2018, mdpi.com, Algorithms,https://www.mdpi.com/1999-4893/11/10/151,2
61,A Alghamdi,"A hybrid method for big data analysis using fuzzy clustering, feature selection and adaptive neuro-fuzzy inferences system techniques: case of Mecca and Medina …",17,2023, Springer, Arabian Journal for Science and Engineering,https://link.springer.com/article/10.1007/s13369-022-06978-0,6
48,"J Zhang, HSH Chung, J Zhong",Adaptive crossover and mutation in genetic algorithms based on clustering technique,16,2005, dl.acm.org, … of the 7th annual conference on Genetic …,https://dl.acm.org/doi/abs/10.1145/1068009.1068267,1
72,"YY Aung, MM Min",A collaborative intrusion detection based on K-means and projective adaptive resonance theory,16,2017, ieeexplore.ieee.org, … Conference on Natural Computation  Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8393000/,2
65,"S Sengupta, T Ghosh, PK Dan",Fuzzy art k-means clustering technique: a hybrid neural network approach to cellularmanufacturing systems,16,2011, Taylor & Francis, International Journal of Computer …,https://www.tandfonline.com/doi/abs/10.1080/0951192X.2011.602362,1
30,"IM Kazi, SS Chowhan, UV Kulkarni",MRI brain image segmentation using adaptive thresholding and K-means algorithm,16,2017, researchgate.net, International Journal of …,https://www.researchgate.net/profile/I-Kazi/publication/320877935_MRI_Brain_Image_segmentation_using_Adaptive_Thresholding_and_K-means_Algorithm/links/5a008026aca2725286d9a9ca/MRI-Brain-Image-segmentation-using-Adaptive-Thresholding-and-K-means-Algorithm.pdf,2
40,"N Srikanth, MSG Prasad",Efficient clustering protocol using fuzzy K-means and midpoint algorithm for lifetime improvement in WSNs,16,2018, inass.org, … Journal of Intelligent Engineering and Systems,https://inass.org/2018/2018083107.pdf,2
33,"A Nasiakou, M Alamaniotis, LH Tsoukala",Power distribution network partitioning in big data environment using k-means and fuzzy logic,15,2016, IET, Mediterranean Conference on Power …,https://digital-library.theiet.org/doi/abs/10.1049/cp.2016.1078,2
89,"J Chen, H Chen, Y Guo, M Zhou…",A novel test case generation approach for adaptive random testing of object-oriented software using k-means clustering technique,14,2021, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9615378/,3
43,"T Li, Y Ma, T Endoh",Normalization-based validity index of adaptive K-means clustering for multi-solution application,14,2020, ieeexplore.ieee.org, Ieee Access,https://ieeexplore.ieee.org/abstract/document/8952702/,2
98,K Chrysafiadi,The role of fuzzy logic in artificial intelligence and smart applications,14,2023, Springer,Based Software Systems,https://link.springer.com/chapter/10.1007/978-3-031-44457-9_2,5
20,"D Vanisri, C Loganathan",An efficient fuzzy clustering algorithm based on modified k-means,12,2010, academia.edu, International Journal of Engineering …,https://www.academia.edu/download/37001908/IJEST10-02-10-148.pdf,1
94,"GS Narayana, K Kolli",Fuzzy K-means clustering with fast density peak clustering on multivariate kernel estimator with evolutionary multimodal optimization clusters on a large dataset,12,2021, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-020-09718-4,2
95,J Patel,Applications of clustering algorithms in academic performance evaluation,11,2015, scirp.org, Open Access Library Journal,https://www.scirp.org/html/68567_68567.htm,1
74,"AJM Rani, L Parthipan",Clustering analysis by Improved Particle Swarm Optimization and K-means algorithm,11,2012, ieeexplore.ieee.org, IET Chennai 3rd International on …,https://ieeexplore.ieee.org/abstract/document/6719101/,1
78,"ZT Al-Ars, A Al-Bakry",A web/mobile decision support system to improve medical diagnosis using a combination of K-mean and fuzzy logic,10,2019, telkomnika.uad.ac.id, … Computing Electronics and Control),https://telkomnika.uad.ac.id/index.php/TELKOMNIKA/article/view/12715,1
5,"MT Nouei, AV Kamyad, MR Sarzaeem…",Fuzzy risk assessment of mortality after coronary surgery using combination of adaptive neuro‐fuzzy inference system and K‐means clustering,10,2016, Wiley Online Library, Expert …,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.12145,1
32,"M Ahmed, A Paul, MT Imtiaz, MZ Hassan…","TV series recommendation using fuzzy inference system, K-Means clustering and adaptive neuro fuzzy inference system",9,2017, ieeexplore.ieee.org, … Computation  Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8392994/,1
70,"MA Jubair, SA Mostafa, A Mustapha, Z Baharum…",A multi-agent K-Means algorithm for improved parallel data clustering,9,2022, joiv.org, … : International Journal on …,https://joiv.org/index.php/joiv/article/view/934,2
93,"AK Joseph, G Radhamani",Hybrid test case optimization approach using genetic algorithm with adaptive neuro fuzzy inference system for regression testing,7,2017, asmedigitalcollection.asme.org, Journal of Testing …,https://asmedigitalcollection.asme.org/testingevaluation/article/45/6/2283/1190903,1
75,"R Vankdothu, MA Hameed, R Bhukya…",RETRACTED ARTICLE: Entropy and sigmoid based K-means clustering and AGWO for effective big data handling,7,2023, Springer, Multimedia Tools and …,https://link.springer.com/article/10.1007/s11042-022-13929-2,2
76,"AM Ikotun, AE Ezugwu",Enhanced firefly-K-means clustering with adaptive mutation and central limit theorem for automatic clustering of high-dimensional datasets,7,2022, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/12/23/12275,2
91,"MS Burhan, WF Mahmudy, R Dermawi",Sugeno-Type Fuzzy Inference Optimization With Firefly and K-Means Clustering Algorithms For Rainfall Forecasting,5,2018, jitecs.ub.ac.id, Journal of Information …,http://jitecs.ub.ac.id/index.php/jitecs/article/view/34,1
